location_type, parent_station, stop_id, stop_code, stop_name, stop_desc, stop_lat, stop_lon, zone_id, supported_modes
0,,26750,26750,"Marmion Av After Camborne Pwy","",-31.6357873562,115.6901332560,5,Bus
0,,26751,26751,"Marmion Av Before Windmere Chase","",-31.6375425468,115.6909799610,5,Bus
0,,26752,26752,"Marmion Av After Camborne Pwy","",-31.6336147883,115.6891206910,5,Bus
0,,26755,26755,"Kelvin Rd Opposite Crystal Brook Caravan","Crystal Brook Caravan Park",-32.01884777777780,116.018733333333,2,Bus;School Bus
0,,26756,26756,"Gordon Rd After Shepherd Rd","",-32.51115722222220,115.740636666667,7,Bus
0,,26757,26757,"Gordon Rd Before Shepherd Rd","",-32.51102222222220,115.739890,7,Bus
0,,26764,26764,"Rod Ct After Princeton Dr","Rod Ct / Princeton Dr",-32.60422277777780,115.641346111111,8,Bus;School Bus
0,,26765,26765,"Avenell Rd After Winifred Rd","Avenell Rd / Raleigh Rd",-31.9162724938,115.9150070310,1,Bus
0,,26766,26766,"William St Stand 4","",-31.9527432128,115.85728115,FTZ,Bus
0,,26767,26767,"William St Stand 5","",-31.9528961371,115.8572017650,FTZ,Bus
0,,26768,26768,"William St Stand 6","William Street Stands",-31.95306777777780,115.857140555556,FTZ,Bus
0,,26769,26769,"William St Stand 7","William St / Perth Underground Entrance",-31.95324444444450,115.857005,FTZ,Bus
0,,26772,26772,"Gordin Way Byford Secondary College","Byford Secondary College",-32.22387722222220,116.003915,4,Bus;School Bus
0,,26786,26786,"Brenchley Dr Before Folland Pde","Atwell College",-32.1446479970,115.86512069,3,Bus
0,,26787,26787,"Discovery Way Murdoch University","",-32.0702136846,115.8301272090,2,Bus
0,122,26788,26788,"Wellington St Stand 1","Perth Stn",-31.9520135439,115.8608600310,FTZ,Bus
0,,26790,26790,"Kelvin Rd After Bickley Rd","",-32.03523444444440,115.999874444444,2,Bus;School Bus
0,,26791,26791,"Kelvin Rd After Caravan Park","",-32.0155077249,116.0208629710,2,Bus;School Bus
0,,26792,26792,"Kelvin Rd Before Crystal Brook","",-32.0155014240,116.0210168060,2,Bus;School Bus
0,,26793,26793,"Kelvin Rd Before Crystal Brook Road","",-32.0136105764,116.0231033540,2,Bus;School Bus
0,,26794,26794,"Kelvin Rd After Crystal Brook Rd","",-32.0139027769,116.02290134,2,Bus;School Bus
0,,26796,26796,"Maida Vale Rd After Pinker Cr","",-31.9526750995,116.0192919920,2,Bus
